,lat,lon,timestamp,amenity,name,brand:wikidata,cuisine,brand,chain_name,city
298,49.2274296,-123.1168286,2019-09-13T13:57:03.000-07:00,cafe,Chatime,Q16829306,bubble_tea,Chatime,Chatime,Vancouver
299,49.2897561,-123.1383258,2019-08-29T18:02:26.000-07:00,fast_food,Panago,Q17111672,pizza,Panago,Panago,Vancouver
300,49.2893869,-123.1388596,2019-08-29T18:02:26.000-07:00,cafe,Tim Hortons,Q175106,coffee_shop,Tim Hortons,Tim Hortons,Vancouver
301,49.1774976,-123.1201449,2020-04-17T21:26:32.000-07:00,fast_food,McDonald's,Q38076,burger,McDonald's,McDonald's,Richmond
302,49.1056159,-122.7388746,2020-01-10T23:10:45.000-08:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Surrey
303,49.1044584,-122.7252382,2019-09-23T20:11:19.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Surrey
304,49.1038027,-122.7250223,2019-09-23T20:11:19.000-07:00,fast_food,McDonald's,Q38076,burger,McDonald's,McDonald's,Surrey
305,49.1038253,-122.726644,2019-09-23T20:11:19.000-07:00,cafe,Tim Hortons,Q175106,coffee_shop,Tim Hortons,Tim Hortons,Surrey
306,49.1191003,-122.7315965,2019-10-29T03:23:55.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Surrey
307,49.2693966,-123.1029581,2020-02-16T02:50:52.000-08:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Vancouver
308,49.1996433,-122.8114213,2019-05-28T06:37:41.000-07:00,fast_food,Panago,Q17111672,pizza,Panago,Panago,Surrey
309,49.3254284,-123.1367676,2019-10-29T17:29:30.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,West Vancouver
310,49.1763937,-122.8887016,2019-06-24T21:43:20.000-07:00,fast_food,Domino's Pizza,Q839466,pizza,Domino's Pizza,Domino's Pizza,Surrey
311,49.1763072,-122.8886974,2019-06-24T21:43:20.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Surrey
312,49.1685645,-122.8009642,2020-06-20T09:22:50.000-07:00,fast_food,Dairy Queen,Q1141226,ice_cream;burger,Dairy Queen,Dairy Queen,Surrey
313,49.2860889,-123.1163367,2019-07-14T20:19:12.000-07:00,cafe,Tim Hortons,Q175106,coffee_shop,Tim Hortons,Tim Hortons,Vancouver
314,49.2832205,-123.1155257,2019-09-18T23:00:49.000-07:00,cafe,Tim Hortons,Q175106,coffee_shop,Tim Hortons,Tim Hortons,Vancouver
315,49.2829884,-123.1156531,2019-12-13T06:50:18.000-08:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Vancouver
316,49.2766649,-123.1272005,2019-09-18T23:00:49.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Vancouver
317,49.2823756,-123.1084859,2019-08-29T17:57:11.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Vancouver
318,49.111784,-122.6767069,2019-06-07T13:28:04.000-07:00,cafe,Tim Hortons,Q175106,coffee_shop,Tim Hortons,Tim Hortons,City of Langley
319,49.2207628,-122.5948477,2019-12-24T04:33:53.000-08:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Maple Ridge
320,49.2485436,-123.1266354,2020-01-10T00:14:59.000-08:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Vancouver
321,49.27789,-122.7952302,2020-01-17T07:58:29.000-08:00,fast_food,KFC,Q524757,chicken,KFC,KFC,Coquitlam
322,49.2795168,-122.828018,2019-08-15T01:45:44.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Port Moody
323,49.2790389,-122.8285085,2019-08-10T00:55:12.000-07:00,fast_food,Panago,Q17111672,pizza,Panago,Panago,Port Moody
324,49.2792178,-122.8288779,2019-08-15T01:07:45.000-07:00,fast_food,Booster Juice,Q4943796,juice,Booster Juice,Booster Juice,Port Moody
325,49.326995,-123.0724441,2019-05-30T05:30:34.000-07:00,fast_food,Panago,Q17111672,pizza,Panago,Panago,North Vancouver
326,49.2870412,-123.1283167,2019-08-29T17:59:17.000-07:00,cafe,Tim Hortons,Q175106,coffee_shop,Tim Hortons,Tim Hortons,Vancouver
327,49.0579402,-122.8018068,2019-06-28T17:54:19.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Surrey
328,49.2885656,-123.1177149,2019-08-29T17:32:53.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Vancouver
329,49.1167896,-122.6795827,2019-09-13T13:57:02.000-07:00,fast_food,Little Caesars,Q1393809,pizza,Little Caesars,Little Caesars,None
330,49.1154625,-122.6795039,2019-08-12T21:54:29.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,None
331,49.2464996,-123.1854116,2019-09-13T13:57:03.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Vancouver
332,49.2796237,-122.9210213,2020-02-14T18:42:42.000-08:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Burnaby
333,49.2799293,-122.9212052,2019-10-22T06:08:58.000-07:00,cafe,Tim Hortons,Q175106,coffee_shop,Tim Hortons,Tim Hortons,Burnaby
334,49.2469453,-122.7499988,2020-02-22T02:15:31.000-08:00,fast_food,Wendy's,Q550258,burger,Wendy's,Wendy's,Port Coquitlam
335,49.0601698,-122.4932153,2020-01-15T21:07:58.000-08:00,cafe,Tim Hortons,Q175106,coffee_shop,Tim Hortons,Tim Hortons,None
336,49.2785018,-123.1156293,2019-09-18T23:00:49.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Vancouver
337,49.1989622,-122.7772807,2019-09-13T13:57:03.000-07:00,cafe,Tim Hortons,Q175106,coffee_shop,Tim Hortons,Tim Hortons,Surrey
338,49.1673671,-122.8007973,2019-09-27T12:21:55.000-07:00,fast_food,KFC,Q524757,chicken,KFC,KFC,Surrey
339,49.3131411,-123.0768211,2019-09-11T22:30:01.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,North Vancouver
340,49.2329446,-123.0653099,2019-11-09T05:01:37.000-08:00,cafe,Tim Hortons,Q175106,coffee_shop,Tim Hortons,Tim Hortons,Vancouver
341,49.0412463,-122.2207816,2019-09-02T22:08:26.000-07:00,fast_food,Booster Juice,Q4943796,juice,Booster Juice,Booster Juice,Abbotsford
342,49.0406919,-122.2201781,2019-06-17T23:13:28.000-07:00,fast_food,Taco Del Mar,Q7673972,mexican,Taco Del Mar,Taco Del Mar,Abbotsford
343,49.0406901,-122.2200785,2019-06-17T23:13:28.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Abbotsford
344,49.0410938,-122.2201486,2019-08-24T15:24:56.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Abbotsford
345,49.2850423,-123.1205667,2020-03-11T04:43:09.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Vancouver
346,49.2841391,-123.1142912,2019-08-29T17:30:29.000-07:00,fast_food,Burger King,Q177054,burger,Burger King,Burger King,Vancouver
347,49.277133,-123.1296758,2019-08-29T18:31:06.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Vancouver
348,49.263404,-123.1162261,2019-08-21T21:33:31.000-07:00,ice_cream,Marble Slab Creamery,Q17020087,ice_cream,Marble Slab Creamery,Marble Slab Creamery,Vancouver
349,49.3256789,-123.1353529,2019-10-29T17:29:30.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,West Vancouver
350,49.3207939,-123.0955757,2019-12-27T00:25:12.000-08:00,fast_food,Burger King,Q177054,burger,Burger King,Burger King,None
351,49.2627174,-123.1000189,2020-01-20T20:26:25.000-08:00,restaurant,Freshii,Q5503051,salad,Freshii,Freshii,Vancouver
352,49.2627235,-123.1001878,2020-01-20T20:26:25.000-08:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Vancouver
